"X1","X2","X3"
363355,"default",2012-06-01
363356,"default",2012-05-01
363358,"default",2012-08-01
363364,"default",2012-08-01
363365,"default",2012-08-01
363366,"not default",NA
363371,"not default",NA
363372,"default",2012-08-01
363375,"default",2012-05-01
363379,"default",2012-06-01
363381,"default",2012-06-01
363390,"default",2012-06-01
363393,"default",2012-06-01
363398,"default",2012-06-01
363399,"default",2012-06-01
363400,"default",2012-06-01
363404,"default",2012-09-01
363408,"default",2012-08-01
363409,"default",2012-08-01
363412,"not default",NA
363415,"default",2012-08-01
363416,"default",2012-06-01
363422,"default",2012-08-01
363426,"default",2012-06-01
363429,"default",2012-06-01
363434,"default",2012-08-01
363436,"default",2012-06-01
363438,"default",2012-08-01
363439,"default",2012-06-01
363441,"not default",NA
363442,"default",2012-08-01
363445,"default",2012-09-01
363447,"default",2012-05-01
363448,"default",2012-08-01
363453,"default",2012-06-01
363457,"default",2012-08-01
363461,"default",2012-06-01
363466,"default",2012-08-01
363476,"not default",NA
363477,"default",2012-08-01
363483,"default",2012-08-01
363485,"not default",NA
363487,"default",2012-07-01
363488,"not default",NA
363492,"default",2012-12-01
363493,"default",2012-06-01
363494,"default",2012-06-01
363496,"not default",NA
363499,"default",2012-12-01
363500,"default",2012-04-01
363502,"default",2012-08-01
363506,"default",2012-08-01
363509,"default",2012-08-01
363510,"default",2012-12-01
363515,"default",2012-06-01
363516,"default",2012-11-01
363525,"default",2012-06-01
363526,"default",2012-06-01
363529,"not default",NA
363533,"default",2012-08-01
363537,"default",2012-08-01
363539,"default",2012-08-01
363542,"default",2012-08-01
363543,"not default",NA
363545,"default",2012-07-01
363548,"default",2012-08-01
363551,"default",2012-08-01
363553,"default",2012-08-01
363555,"default",2012-08-01
363557,"default",2012-08-01
363559,"default",2012-05-01
363560,"default",2012-08-01
363562,"default",2012-06-01
363567,"not default",NA
363579,"default",2012-08-01
363581,"default",2012-07-01
363587,"default",2012-06-01
363591,"not default",NA
363594,"default",2012-07-01
363598,"default",2012-06-01
363610,"default",2012-06-01
363613,"not default",NA
363614,"default",2012-06-01
363617,"default",2012-07-01
363618,"default",2012-05-01
363620,"default",2012-06-01
363625,"default",2012-06-01
363626,"default",2012-07-01
363627,"default",2012-08-01
363628,"default",2012-08-01
363631,"default",2012-08-01
363637,"not default",NA
363641,"default",2012-06-01
363652,"not default",NA
363664,"not default",NA
363670,"not default",NA
363674,"default",2012-07-01
363675,"not default",NA
363681,"default",2013-05-01
363691,"not default",NA
363694,"default",2012-06-01
363695,"default",2012-07-01
363698,"default",2012-06-01
363699,"default",2012-08-01
363705,"not default",NA
363708,"not default",NA
363713,"default",2012-06-01
363715,"default",2012-06-01
363721,"default",2012-06-01
363728,"default",2012-05-01
363729,"default",2012-08-01
363733,"default",2012-05-01
363736,"default",2013-06-01
363757,"default",2013-06-01
363769,"default",2012-07-01
363770,"default",2012-08-01
363773,"not default",NA
363775,"not default",NA
363777,"default",2012-08-01
363782,"default",2012-08-01
363783,"not default",NA
363784,"not default",NA
363787,"not default",NA
363788,"default",2012-06-01
363790,"not default",NA
363797,"not default",NA
363800,"default",2012-08-01
363802,"default",2012-06-01
363803,"default",2012-08-01
363808,"default",2012-06-01
363809,"default",2012-08-01
363812,"not default",NA
363823,"default",2012-08-01
363824,"default",2012-08-01
363826,"not default",NA
363827,"not default",NA
363828,"default",2012-08-01
363831,"default",2012-07-01
363835,"not default",NA
363838,"default",2012-08-01
363848,"default",2012-08-01
363851,"default",2012-06-01
363852,"default",2012-05-01
363855,"default",2012-05-01
363859,"not default",NA
363861,"default",2012-05-01
363864,"default",2012-07-01
363873,"default",2012-08-01
363874,"not default",NA
363877,"not default",NA
363879,"not default",NA
363881,"default",2012-07-01
363887,"default",2012-08-01
363888,"default",2013-01-01
363889,"default",2012-08-01
363895,"default",2012-05-01
363900,"not default",NA
363906,"not default",NA
363915,"not default",NA
363921,"default",2012-07-01
363925,"not default",NA
363928,"default",2012-08-01
363940,"default",2012-09-01
363941,"default",2012-08-01
363947,"not default",NA
363955,"not default",NA
363956,"default",2012-08-01
363959,"not default",NA
363963,"default",2012-06-01
363964,"not default",NA
363965,"default",2012-06-01
363966,"not default",NA
363970,"default",2012-08-01
363971,"default",2012-08-01
