"","X1","X2","X3"
"14122",70874,"not default",NA
"14123",70885,"not default",NA
"14124",70886,"not default",NA
"14125",70887,"not default",NA
"14126",70889,"not default",NA
"14127",70893,"not default",NA
"14128",70896,"not default",NA
"14129",70906,"not default",NA
"14130",70910,"not default",NA
"14131",70916,"not default",NA
"14132",70920,"not default",NA
"14133",70923,"not default",NA
"14134",70936,"not default",NA
"14135",70939,"not default",NA
"14136",70954,"not default",NA
"14137",70974,"not default",NA
"14138",70983,"not default",NA
"14139",70984,"not default",NA
"14140",70987,"not default",NA
"14141",70990,"not default",NA
"14142",70992,"not default",NA
"14143",70995,"not default",NA
"14144",70998,"not default",NA
"14145",71002,"not default",NA
"14146",71006,"not default",NA
"14147",71010,"not default",NA
"14148",71011,"not default",NA
"14149",71013,"not default",NA
"14150",71015,"not default",NA
"14151",71016,"not default",NA
"14152",71018,"not default",NA
"14153",71022,"not default",NA
"14154",71025,"not default",NA
"14155",71026,"not default",NA
"14156",71027,"not default",NA
"14157",71031,"not default",NA
"14158",71035,"not default",NA
"14159",71036,"not default",NA
"14160",71037,"not default",NA
"14161",71039,"not default",NA
"14162",71048,"not default",NA
"14163",71053,"not default",NA
"14164",71058,"not default",NA
"14165",71060,"not default",NA
"14166",71064,"not default",NA
"14167",71082,"not default",NA
"14168",71088,"not default",NA
"14169",71102,"not default",NA
"14170",71108,"not default",NA
"14171",71116,"not default",NA
"14172",71120,"not default",NA
"14173",71127,"not default",NA
"14174",71132,"not default",NA
"14175",71135,"not default",NA
"14176",71138,"not default",NA
"14177",71163,"not default",NA
"14178",71164,"not default",NA
"14179",71166,"not default",NA
"14180",71177,"not default",NA
"14181",71190,"not default",NA
"14182",71191,"not default",NA
"14183",71192,"not default",NA
"14184",71196,"not default",NA
"14185",71197,"not default",NA
"14186",71201,"not default",NA
"14187",71202,"not default",NA
"14188",71204,"not default",NA
"14189",71213,"not default",NA
"14190",71214,"not default",NA
"14191",71216,"not default",NA
"14192",71218,"not default",NA
"14193",71223,"not default",NA
"14194",71232,"not default",NA
"14195",71234,"not default",NA
"14196",71237,"not default",NA
"14197",71239,"not default",NA
"14198",71244,"not default",NA
"14199",71251,"not default",NA
"14200",71258,"not default",NA
"14201",71268,"not default",NA
"14202",71269,"not default",NA
"14203",71289,"not default",NA
"14204",71290,"not default",NA
"14205",71291,"not default",NA
"14206",71292,"not default",NA
"14207",71299,"not default",NA
"14208",71309,"not default",NA
"14209",71317,"not default",NA
"14210",71319,"not default",NA
"14211",71323,"not default",NA
"14212",71326,"not default",NA
"14213",71334,"not default",NA
"14214",71337,"not default",NA
"14215",71343,"not default",NA
"14216",71354,"not default",NA
"14217",71359,"not default",NA
"14218",71360,"not default",NA
"14219",71362,"not default",NA
"14220",71363,"not default",NA
"14221",71365,"not default",NA
"14222",71367,"not default",NA
"14223",71368,"not default",NA
"14224",71369,"not default",NA
"14225",71372,"not default",NA
"14226",71373,"not default",NA
"14227",71379,"not default",NA
"14228",71383,"not default",NA
"14229",71388,"not default",NA
"14230",71391,"not default",NA
"14231",71403,"not default",NA
"14232",71408,"not default",NA
"14233",71409,"not default",NA
"14234",71410,"not default",NA
"14235",71420,"not default",NA
"14236",71425,"not default",NA
"14237",71426,"not default",NA
"14238",71429,"not default",NA
"14239",71435,"not default",NA
"14240",71439,"not default",NA
"14241",71441,"not default",NA
"14242",71449,"not default",NA
"14243",71466,"not default",NA
"14244",71476,"not default",NA
"14245",71478,"not default",NA
"14246",71483,"not default",NA
"14247",71485,"not default",NA
"14248",71488,"not default",NA
"14249",71493,"not default",NA
"14250",71495,"not default",NA
"14251",71498,"not default",NA
"14252",71500,"not default",NA
"14253",71511,"not default",NA
"14254",71518,"not default",NA
"14255",71528,"not default",NA
"14256",71529,"not default",NA
"14257",71530,"not default",NA
"14258",71533,"not default",NA
"14259",71536,"not default",NA
"14260",71537,"not default",NA
"14261",71538,"not default",NA
"14262",71539,"not default",NA
"14263",71541,"not default",NA
"14264",71550,"not default",NA
"14265",71551,"not default",NA
"14266",71553,"not default",NA
"14267",71555,"not default",NA
"14268",71557,"not default",NA
"14269",71560,"not default",NA
"14270",71561,"not default",NA
"14271",71574,"not default",NA
"14272",71576,"not default",NA
"14273",71578,"not default",NA
"14274",71580,"not default",NA
"14275",71581,"not default",NA
"14276",71583,"not default",NA
"14277",71584,"not default",NA
"14278",71593,"not default",NA
"14279",71597,"not default",NA
"14280",71603,"not default",NA
"14281",71612,"not default",NA
"14282",71613,"not default",NA
"14283",71624,"not default",NA
"14284",71631,"not default",NA
"14285",71639,"not default",NA
"14286",71641,"not default",NA
"14287",71644,"not default",NA
"14288",71647,"not default",NA
"14289",71651,"not default",NA
"14290",71661,"not default",NA
"14291",71662,"not default",NA
"14292",71686,"not default",NA
"14293",71690,"not default",NA
"14294",71695,"not default",NA
"14295",71696,"not default",NA
"14296",71700,"not default",NA
"14297",71702,"not default",NA
"14298",71704,"not default",NA
"14299",71727,"not default",NA
"14300",71733,"not default",NA
"14301",71735,"not default",NA
"14302",71738,"not default",NA
"14303",71740,"not default",NA
"14304",71742,"not default",NA
"14305",71749,"not default",NA
"14306",71755,"not default",NA
"14307",71760,"not default",NA
"14308",71766,"not default",NA
"14309",71769,"not default",NA
"14310",71771,"not default",NA
"14311",71772,"not default",NA
"14312",71775,"not default",NA
"14313",71793,"not default",NA
"14314",71797,"not default",NA
"14315",71823,"not default",NA
"14316",71833,"not default",NA
"14317",71840,"not default",NA
"14318",71847,"not default",NA
"14319",71848,"not default",NA
"14320",71850,"not default",NA
"14321",71881,"not default",NA
"14322",71882,"not default",NA
"14323",71895,"not default",NA
"14324",71899,"not default",NA
"14325",71906,"not default",NA
"14326",71918,"not default",NA
"14327",71921,"not default",NA
"14328",71923,"not default",NA
"14329",71932,"not default",NA
"14330",71943,"not default",NA
"14331",71947,"not default",NA
"14332",71954,"not default",NA
"14333",71957,"not default",NA
"14334",71959,"not default",NA
"14335",71968,"not default",NA
"14336",71972,"not default",NA
"14337",71983,"not default",NA
"14338",71990,"not default",NA
