"","X1","X2","X3"
"39219",184199,"paid",2010-11-01
"39220",184200,"paid",2011-05-01
"39221",184202,"paid",2011-05-01
"39222",184203,"paid",2011-06-01
"39223",184209,"paid",2011-05-01
"39224",184218,"paid",2011-02-01
"39225",184221,"paid",2011-04-01
"39226",184232,"paid",2011-05-01
"39227",184233,"paid",2011-05-01
"39228",184242,"paid",2010-11-01
"39229",184253,"paid",2011-03-01
"39230",184254,"paid",2010-09-01
"39231",184262,"not paid",NA
"39232",184267,"paid",2010-09-01
"39233",184274,"paid",2010-09-01
"39234",184276,"paid",2010-09-01
"39235",184280,"paid",2011-03-01
"39236",184285,"paid",2011-03-01
"39237",184291,"paid",2010-10-01
"39238",184297,"not paid",NA
"39239",184304,"paid",2010-10-01
"39240",184309,"paid",2010-10-01
"39241",184310,"not paid",NA
"39242",184314,"not paid",NA
"39243",184321,"not paid",NA
"39244",184326,"not paid",NA
"39245",184327,"paid",2010-11-01
"39246",184328,"paid",2011-05-01
"39247",184345,"paid",2010-08-01
"39248",184349,"not paid",NA
"39249",184350,"paid",2011-11-01
"39250",184356,"paid",2010-10-01
"39251",184365,"not paid",NA
"39252",184367,"paid",2010-11-01
"39253",184375,"paid",2010-07-01
"39254",184377,"not paid",NA
"39255",184387,"paid",2010-10-01
"39256",184400,"paid",2010-10-01
"39257",184403,"paid",2010-10-01
"39258",184405,"not paid",NA
"39259",184406,"paid",2011-06-01
"39260",184408,"paid",2011-02-01
"39261",184412,"paid",2010-10-01
"39262",184418,"paid",2011-04-01
"39263",184431,"paid",2010-08-01
"39264",184441,"paid",2011-04-01
"39265",184452,"not paid",NA
"39266",184453,"paid",2012-05-01
"39267",184462,"paid",2010-10-01
"39268",184464,"paid",2011-08-01
"39269",184471,"paid",2010-12-01
"39270",184475,"paid",2011-04-01
"39271",184477,"paid",2011-04-01
"39272",184479,"paid",2011-04-01
"39273",184480,"paid",2010-11-01
"39274",184481,"paid",2010-08-01
"39275",184483,"paid",2011-04-01
"39276",184484,"paid",2011-04-01
"39277",184486,"paid",2011-04-01
"39278",184487,"paid",2010-10-01
"39279",184488,"paid",2010-10-01
"39280",184490,"paid",2011-04-01
"39281",184494,"paid",2011-03-01
"39282",184495,"paid",2011-05-01
"39283",184496,"paid",2010-10-01
"39284",184497,"paid",2010-08-01
"39285",184499,"paid",2010-11-01
"39286",184505,"not paid",NA
"39287",184507,"not paid",NA
"39288",184508,"paid",2011-04-01
"39289",184510,"not paid",NA
"39290",184520,"paid",2011-05-01
"39291",184540,"paid",2011-05-01
"39292",184546,"paid",2011-01-01
